review_id,verdict,question,reference_answer,evidence_quote
r0034,rewrite,What is the difference between a minor variation and a full variation application in terms of appeal?,"If you apply for a minor variation and your application is rejected, you will not be able to appeal. However, you can reapply using the full variation process.","If you apply for a minor variation and your application is rejected, you will not be able to appeal. However,  you can reapply using the full variation process."
r0035,keep,"If a contractor withholds part of the payment as a contribution towards the CITB levy, how is the value for VAT purposes determined?",The full agreed price should be the amount shown on the invoice and VAT will be due on that amount.,"Where a contractor and subcontractor agree a price for the subcontractor’s supplies, then the value for VAT purposes will be the agreed price, even if the contractor withholds part of the payment as a contribution towards the ‘levy’. The full agreed price should be the amount shown on the invoice and VAT will be due on that amount."
r0036,purge,"Under what circumstances can a maintenance order be terminated, and how might this differ from the duration of a financial order?","A maintenance payment can be set for a limited period of time or until one of you dies, marries or enters into a new civil partnership. This is different from a financial order which might have its own specific duration.",The payment can also be changed if one of
r0037,rewrite,Who must register the trust with HM Revenue and Customs?,"Once a trust becomes liable for tax, you must register the trust with HM Revenue and Customs.","Once a trust becomes liable for tax, you must register the trust with HM Revenue and Customs."
r0038,purge,When can a conservatory be installed in relation to the main construction of a house for sale?,Before the Certificate of Completion is issued.,A developer is in the process of constructing a house for sale. The house buyer would like the house to include an attached conservatory and so contracts with a conservatory specialist to supply and install the conservatory prior to them
r0039,keep,Under what condition are you required to inform HMRC about changes in the value of an estate before 18 months have passed since the person's death?,If there’s a change in value.,"If the values are not final or it’s less than 18 months since the person died, you only need to tell HMRC if: there’s a change in v"
r0040,keep,What does the Equality Act 2010 replace?,previous anti-discrimination laws,"It replaced previous anti-discrimination laws with a single act, making the law easier to understand and strengthening protection in some situations."
r0041,keep,What must you do if you make a REE?,"Notify it to HMRC within 30 days of having made it, or such longer period as we may allow.","If you make a REE, you must notify it to HMRC within 30 days of having made it, or such longer period as we may allow."
r0042,keep,What type of students are most likely to receive support from the Residential Support Scheme?,students living in rural areas with limited access to a wide range of 16 to 18 further education provision,Most students supported by RSS tend to live in rural areas and have limited access to a wide range of 16 to 18 further education provision.
r0043,rewrite,What must a draft charging schedule be based on?,evidence about the infrastructure needs of the area and the ability of development in that area to fund that infrastructure in whole or in part.,It should be based on evidence about the infrastructure needs of the area and the ability of development in that area to fund that infrastructure in whole or in part.
r0044,rewrite,How does the time frame for claiming a refund differ between dated and undated documents?,"For dated documents, refunds must be claimed within 2 years of the date; for undated documents, it is within 2 years of first execution.","If the document is undated, a refund can be claimed within 2 years of first execution."
r0045,rewrite,"When a section 73 application results in an increase or decrease in liability, how does the charging authority's process differ?","The charging authority should calculate a new liability, following different processes, depending on whether the change results in an increase or decrease in liability.","If there is a change, the charging authority should calculate a new liability, following different processes, depending on whether the change results in an increase or decrease in liability."
r0046,rewrite,How long can the update of my National Insurance record take compared to paying online?,up to 8 weeks,"For all other payment methods, it can take up to 8 weeks."
r0047,keep,How can you apply to end a court order that is not working or no longer relevant?,"Use form C100 to apply to end (‘discharge’) a court order that’s not working, or is not relevant to you and your children any more.","Use form C100 to apply to end (‘discharge’) a court order that’s not working, or is not relevant to you and your children any more."
r0048,purge,Can someone receiving JSA for over 182 days continue to receive the allowance without speaking to a work coach?,"No, after 182 days, you must talk to your work coach about options.",After this you can talk to your work coach about your options.
r0049,purge,What must you do if your charity’s name includes non-English words?,73.50 plus room rate,You must include a translation of any non-English words in your charity’s name when you register.
r0050,keep,Under what condition can you apply for an advance that exceeds the amount of your first estimated Universal Credit payment?,You cannot apply for an advance that exceeds the amount of your first estimated Universal Credit payment.,The amount you can get depends on your circumstances. The most you can get is the amount of your first estimated payment.
r0051,rewrite,Compare the sign-in details required for applying with those needed for signing in.,"Government Gateway user ID, not the business ID","They must use their own Government Gateway user ID, not the business ID."
r0052,keep,Can an agent be authorized to handle a single Capital Gains Tax return for a deceased person's estate?,No,It’s not currently possible for you to be authorised for a single return.
r0053,keep,What can you do if technical problems prevent you from accessing your childcare account?,You may be able to claim compensation.,If you’ve been unable to use the service You may be able to claim compensation if you’ve been unable to access your account due to technical problems with the childcare service.
r0054,keep,What happens if a paying parent tries to avoid collection fees by paying the receiving parent directly?,You cannot avoid collection fees by paying the other parent directly.,"If you use Collect and Pay, you cannot avoid collection fees by paying the other parent directly"
r0055,rewrite,How can a property be removed from the Council Tax list if it has been renovated?,If your property is undergoing major renovation work affecting all or most of the property.,your property is undergoing major renovation work affecting all or most of the property
r0056,keep,"If you previously opted to tax land without reference to a particular building and now only have an interest in part of that land, what happens to your option?",your option is revoked,"you only have an interest in part of the land at the time you make a REE
your option is revoked"
r0057,rewrite,Compare the situations where you can ask for permission to appeal with the situation if you lose your case.,You can ask for permission to appeal if you lose your case and think there’s a legal mistake with the tribunal’s decision.,If you lose your case and you think there’s a legal mistake with the tribunal’s decision.
r0058,keep,What must planning authorities do if the Sequential and Exception Tests are not met in flood risk assessment?,Development should not be allowed.,"Where the sequential and the exception tests have been applied as necessary and not met, development should not be allowed."
r0059,keep,Where can you ask to scan your dog or cat for a microchip?,"a vet, a dog warden, a rescue centre","You can ask any of the following to scan your dog or cat for it:
a vet
a dog warden
a rescue centre"
r0060,purge,Can you register as a professional tax agent without first registering with HMRC as a tax adviser?,"No, you must register as a tax adviser with HMRC to access the tax services you want to use.","To register with HMRC, you should apply for an agent services account so HM"
r0061,keep,When should you get legal advice and information?,As early as you can.,Get advice and information as early as you can. It might stop a problem from getting worse.
r0062,keep,Which bus company is mentioned in the document?,Stagecoach South East,Stagecoach South East
r0063,keep,"If you applied for your last provisional licence before 1 March 1973, what process do you need to follow instead?",apply for your first provisional licence,"If you applied for your last provisional licence before 1 March 1973, you’ll need to follow the process to apply for your first provisional licence instead."
r0064,purge,How can you determine if part of a building is eligible for zero-rating?,You’ll have to repay the IHS.,"Where a service (such as the carrying out of civil engineering work) is supplied in part in relation to an approved alteration and in part for other purposes, a fair and reasonable apportionment may be made to determine the extent to which the supply is treated as being zero-rated."
r0065,rewrite,"What should you do if the person for whom you are a deputy has passed away, and there is no court order to cancel your security bond?",Your security bond will remain in force for 2 years after the death of the person you’re a deputy for unless there’s a court order cancelling it.,Your security bond will remain in force for 2 years after the death of the person you’re a deputy for unless there’s a court order cancelling it.
r0066,keep,Do you need to apply for a new provisional licence when upgrading from an automatic to a manual driving licence?,"No, you do not need to apply for another provisional licence.",You do not need to apply for another provisional licence.
r0067,rewrite,In what mode can you make non-business calls without inserting money?,domestic mode,"If you use the domestic mode to make non-business calls, you cannot treat all the VAT you’re charged by your supplier as input tax."
r0068,keep,Under what condition might an employer not have to pay the immigration skills charge for a sponsored worker?,If you’re sponsoring a worker who was assigned a certificate before 6 April 2017.,You also might not have to pay the charge if you’re sponsoring a worker who was assigned a certificate before 6 April 2017.
r0069,keep,Which type of passport application requires a signature from a countersignatory?,"first adult passport, first child passport, replacement for a lost, stolen or damaged passport, renewal of a passport for a child aged 11 or under, renewal of a passport if your appearance has changed and you cannot be recognised from your existing passport","You must get your paper form and one of your 2 print photos signed if you’re applying for a:

first adult passport
first child passport
replacement for a lost, stolen or damaged passport
renewal of a passport for a child aged 11 or under
renewal of a passport if your appearance has changed and you cannot be recognised from your existing passport"
r0070,keep,Under what circumstances might a business face a civil penalty for changes in repayment methods or bank details?,If you fail to notify any of the changes within the prescribed time limit.,"You must notify the VAT Registration Service within 30 days of the changes.

You may be liable to a civil penalty if you fail to notify any of the changes within the prescribed time limit."
r0071,keep,How long does it take to get a decision on an HPI visa application?,"3 weeks if you’re outside the UK, 8 weeks if you’re inside the UK","Once you’ve applied online, proved your identity and provided your documents, you’ll usually get a decision on your visa within:

3 weeks, if you’re outside the UK
8 weeks, if you’re inside the UK"
r0072,purge,"Can a Tier 2 Health and Care Worker visa holder apply for extension after December 1, 2026?","No, the specific eligibility requirements change after December 1, 2026.","If you apply to extend before 1 December 2026, you will still need to meet the salary requirements, but your salary may also include allowances, such as London weighting. Any allowances must be guaranteed for the length of your stay."
r0073,keep,Can a partner or child automatically switch to an Innovator Founder visa if the main applicant switches?,"No, they will not automatically switch.",Your partner or child’s visa will not automatically switch to this visa if you switch yours.
r0074,keep,How long do you have to give notice after a tenant's conviction to use ground 7A for eviction?,12 months,"If you rely on a conviction to evict a tenant, you will have 12 months from the date of conviction to give notice that you are seeking possession."
r0075,keep,What must self-employed individuals do monthly to receive Universal Credit payments?,report their earnings,"if you’re self-employed, you must report your earnings every month"
r0076,keep,How can a holding company add vehicles from a newly acquired subsidiary to its operator’s licence?,An application will have to be made to a traffic commissioner if an increase in authorisation is needed to accommodate these vehicles.,An application will have to be made to a traffic commissioner if an increase in authorisation is needed to accommodate these vehicles.
r0077,keep,What must be included when you're appointed as a director?,2 addresses: a service address and your usual residential address,"You must provide 2 addresses to Companies House when you’re appointed as a director. You’ll need to provide:
a service address
your usual residential address"
r0078,keep,What must you provide when verifying your identity for Companies House?,"Answers about yourself, not your company.","You must provide answers about yourself, not your company."
r0079,keep,What is the VAT rate for monosodium glutamate?,Standard rate,"Monosodium glutamate
 Standard rate
 Not a food product in its own right"
r0080,keep,When can you avoid paying Stamp Duty Land Tax if given property as a gift?,as long as there’s no outstanding mortgage on it,If you get property as a gift you’ll not pay Stamp Duty Land Tax as long as there’s no outstanding mortgage on it.
r0081,keep,What must you do if your vehicle is not registered in the EU and requires approval?,You need to apply for either Individual Vehicle Approval (IVA) or Motorcycle Single Vehicle Approval (MSVA).,"To get approval for a vehicle that’s not registered in the EU, apply for either:

Individual Vehicle Approval (IVA)
Motorcycle Single Vehicle Approval (MSVA) if it’s a 2, 3 or smaller 4-wheeled vehicle"
r0082,rewrite,What must you do before traveling to potentially avoid paying the full fare at certain locations?,You have to apply in advance to get a concession.,"In most cases, you have to apply in advance to get a concession."
r0083,rewrite,Can a development project that reduces vulnerability and increases resilience in a Coastal Change Management Area still be considered appropriate if it does not raise funds for subsequent relocation?,"No, because the passage states that such projects should reduce vulnerability, increase resilience, and raise funds to facilitate subsequent relocation.","nd-use subject to the relevant planning permission could adapt and diversify to changing circumstances, where it reduces vulnerability, increases resilience and raises funds to facilitate subsequent relocation"
r0084,keep,Do subcontractors always zero rate or reduce rate their supplies?,No.,"For the most part they can zero rate or reduce rate their supplies according to the building being constructed or worked on, as described at paragraph 2.1."
r0085,rewrite,"If your household income is different from what you estimated, how should you proceed?",How much your student is entitled to will change.,"If your household income is different from what you estimated
How much your student is entitled to will change."
r0086,keep,How does the maximum number of operators a transport manager can work for compare to the maximum total fleet size they are responsible for?,A transport manager can work for a maximum of 4 operators with a combined maximum total fleet of 50 vehicles.,"only work for a maximum of 4 operators with a combined maximum total fleet of 50 vehicles – meaning that across all four operators, they cannot have responsibility for more than 50 vehicles"
r0087,rewrite,Under what condition can a registration fee be waived,A scale fee is paid for the registration of a new lease of substantially the same property and the registered proprietor remains the same.,Register the surrender of a registered lease where a scale fee is paid for the registration of a new lease of substantially the same property and the registered proprietor remains the same (read the leases section).
r0088,keep,What must you do if you fail the test and have lost your letter with a 'test reference ID'?,Send a letter explaining that you have lost it with your citizenship or settlement application.,"If you have lost your letter, send a letter explaining that you have lost it with your citizenship or settlement application."
r0089,purge,How does the VAT treatment of plain soya or rice milk compare to that of coconut milk?,Both can be zero-rated.,"plain soya or rice milk (unflavoured and unsweetened)
coconut milk
meal re"
r0090,rewrite,"When comparing the two methods of enforcing key holder details, which is more severe for the owner or occupier if they fail to comply?",Issuing a fixed penalty notice (FPN) is less severe than prosecution.,issue a fixed penalty notice giving them the chance to pay a fine of between £50 and £80 (the default amount is £75) as an alternative to being prosecuted
r0091,keep,How does the guide differ in usefulness for new versus experienced operators?,"The guide is useful as a refresher and to develop understanding of operator licensing for experienced and established operators, while it also provides an introduction to the procedures and requirements for new operators.","If you are a new operator, you will find this guide useful to understand the operator licensing procedures and the requirements you will have to meet to hold a licence. Experienced and established operators may find it useful as a refresher and to develop your understanding of operator licensing."
r0092,keep,"In Example 2, if the total price excluding VAT is £126 and the cost of zero-rated supply is £23, what is the tax-exclusive cost of standard-rated supply?",£40,"(b) Cost of zero-rated supply £23
(c) Tax-exclusive cost of standard-rated supply £40"
r0093,purge,"Under what circumstances can an applicant request their own criminal record check, and who is excluded from this right?",People applying for a role can sometimes request an enhanced check or enhanced check with barred list for themselves.,"they’re from the EU, Norway, Iceland or Liechtenstein and started living in the UK by 31 December 2020 
they lived in the UK for 5 years in a row and in that time they were"
r0094,keep,What should you do if you access VOA online services with GOV.UK One Login but need help?,"If you access VOA online services with GOV.UK One Login (your username is your email address), you should contact GOV.UK One Login.","If you access VOA online services with GOV.UK One Login (your username is your email address), you should contact GOV.UK One Login."
r0095,keep,How can one address questions or concerns related to the application process?,"When you apply for your role, you will be provided with information about how to raise queries or concerns and resolve issues.","When you apply for your role, you will be provided with information about how to raise queries or concerns and resolve issues."
r0096,purge,What should you include in your written contact with HMRC if reporting income you did not include?,"the tax year you’re correcting, why you think you’ve paid too little tax, how much you think you’ve underpaid, your signature",and Work Report cannot be used to apply for Employment and Support Allowance (ESA).
r0097,keep,"How can you claim relief for retail, hospitality and leisure businesses differently from other types of business rate relief?","You cannot make a new claim for retail, hospitality and leisure relief. From 1 April 2026, you will need to use rate multipliers to calculate your business rates bill.","You cannot make a new claim for retail, hospitality and leisure relief. From 1 April 2026, you will need to use rate multipliers to calculate your business rates bill."
r0098,rewrite,How can you claim tax relief for using your own vehicle for work?,"You can claim tax relief if you use cars, vans, motorcycles or bicycles for work and it is a vehicle that you’ve bought or leased with your own money.","You may be able to claim tax relief if you use cars, vans, motorcycles or bicycles for work."
r0099,purge,How do the conditions for zero-rating a garage compare,Both require work to be carried out at the same time as substantial reconstruction and both need to be intended to be occupied with the qualifying property.,"You can also zero rate a garage constructed or converted from a non-residential building provided that both the following conditions are met:
work is carried out at the same time as the substantial reconstruction of a building ‘designed to remain as or become a dwelling or number of dwellings’
the garage is intended to be occupied with the dwelling or one of the dwellings"
