review_id,verdict,question,reference_answer,evidence_quote
r0010,keep,"How much of the threshold would be used if David leaves £50,000 to his friend Sandra?",20%,"The £50,000 left to Sandra would use up 20% (£50,000 ÷ £250,000 x 100) of the threshold"
r0011,keep,How can you apply for a dependant visa for your child born in the UK?,apply online,You can apply online for their dependant visa.
r0012,purge,What must you do if you have an accident with an uninsured motorist?,It is not true that tell the police.,You should tell the police if you have an accident with someone who’s not insured.
r0013,rewrite,How does HMRC use the difference between statutory payments and PAYE deductions to reduce advance payment?,reduce what you owe on your advance payment,HMRC will automatically use what’s left to reduce what you owe on your advance payment.
r0014,keep,How does the area category differ from long-term protection?,The area category is intended for short-term protection in an emergency and may not be capable of providing appropriate long-term protection.,The area category is intended for short-term protection in an emergency and may not be capable of providing appropriate long-term protection.
r0015,purge,Can a teacher with QTS work in both public and private schools in England?,"Yes, but only for teaching in a private or independent school.",teach in a private or independent school in England.
r0016,keep,Who may have to pay the High Income Child Benefit Charge?,You or your partner,You or your partner may have to pay the High Income Child Benefit Charge if either of you receives Child Benefit and at least one of you earns more than the threshold.
r0017,rewrite,What type of visa holders are eligible to apply for protection if they are victims of modern slavery or human trafficking?,"Overseas Domestic Worker visa, on a Domestic Worker in a Private Household visa, or as a private servant of a diplomat","you entered the UK on an Overseas Domestic Worker visa, on a Domestic Worker in a Private Household visa, or as a private servant of a diplomat (known as a Temporary"
r0018,keep,What is required for medical devices in the Northern Ireland market?,"CE marking, and UKNI indication if a UK notified body undertakes mandatory third-party conformity assessments","CE marking is required for the Northern Ireland market (in addition, the UKNI indication is required if a UK notified body undertakes mandatory third-party conformity assessments)"
r0019,keep,What happens if a notice is not provided before starting development?,the CIL amount having to be paid immediately in full,Not providing a notice before commencing development will result in the CIL amount having to be paid immediately in full (see instalments section).
r0020,keep,What type of cases is HMRC more likely to prosecute?,the more serious or aggravated cases,HMRC will decide on the appropriate course of action according to the merits of each case but generally prosecutes only the more serious or aggravated cases.
r0021,keep,Can a child living in full-time education away from home still be considered to live with the innovator founder visa holder?,"Yes, they can still be considered to live with you if they are in full-time education away from home.","They must: live with you, unless they’re living away from home in full-time education - for example, at boarding school or university"
r0022,purge,Under what circumstances will a partner or child's visa not automatically extend even if the primary applicant extends their visa?,"If they do not extend their visa, it will be valid until its original end date.",They can either apply at the same time as
r0023,purge,What must you have before the loan can be paid in full?,a National Insurance number,you must have one before the loan can be paid in full
r0024,keep,What could be the legal consequences if someone deliberately provides incorrect information or fails to report a change in their circumstances?,You could be taken to court or have to pay a penalty.,You could be taken to court or have to pay a penalty if you deliberately give wrong information or do not report a change in your circumstances.
r0025,keep,How can natural flood management be included in strategic policies?,Policies could promote the use of natural flood management techniques and set out expectations for natural flood management contributions.,Policies could promote the use of natural flood management techniques and set out expectations for natural flood management contributions.
r0026,keep,What must you do before placing your device on the Great Britain market?,inform the MHRA,It is a requirement of the UK MDR 2002 that you inform the MHRA before you place
r0027,rewrite,What must a driver with epilepsy do if they have an isolated seizure?,They must stop driving immediately and notify DVLA.,"If the licensed driver has any epileptic seizure, they must stop driving immediately unless DVLA has established that considerations 3, 4 or 5 can be met, and they must notify DVLA."
r0028,keep,How long can the redundancy payment system legally pay for arrears of pay?,up to 8 weeks,we can only legally pay claims for arrears of pay for a period of up to 8 weeks.
r0029,purge,Under what circumstance might an applicant be required to attend a citizenship ceremony despite not being 18 years old?,"If the application is successful and the applicant is under 18, they may still need to attend a citizenship ceremony.",You’ll need to attend a citizenship ceremony if your application is successful and you’re 18 years old or over.
r0030,purge,How can you contact the VOA for something other than BSL interpreter requests?,use our online contact form or send the form by post,"If your tenant has one, ask them for a share code instead."
r0031,purge,"How can you request a Welsh speaker during the call, and what is the timing of this option?",You’ll be given this option when the call begins.,you’ll be given this option when the call begins
r0032,keep,Can I pay Corporation Tax by post?,No.,You cannot pay Corporation Tax by post.
r0033,purge,How long do you have to notify Acas after ending your employment?,3 months,You must raise any claim of unfair dismissal within 3 months of your employment ending.
r0034,purge,Which company in the list has a different pension scheme provider than others?,Liferay Benelux B.V. scheme by ASR Premiepensioeninstelling N.V.,Liferay Benelux B.V. scheme by ASR Premiepensioeninstelling N.V.
r0035,purge,How is the service provided when a UK supplier contracts to supply advertising services?,Its customer has its business establishment in Austria and a branch in the UK which is a fixed establishment.,Its customer has its business establishment in Austria and a branch in the UK which is a fixed establishment.
r0036,keep,"If you are over 18, what must be true about the visa you had before turning 18?",You must have got an eligible visa before you turned 18.,"If you’re over 18, you must have got an eligible visa before you turned 18."
r0037,keep,"If you make a loss or have no Corporation Tax to pay, do you still need to file a Company Tax Return?","Yes, you must still send a return.",You must still send a return if you make a loss or have no Corporation Tax to pay.
r0038,keep,What actions must you take if you want to get a new VAT number instead of keeping the existing one?,You need to cancel the existing VAT registration and register for VAT again.,"If you want to get a new VAT number rather than keeping the existing one, you need to cancel the existing VAT registration and register for VAT again."
r0039,rewrite,Under what circumstances might a local planning authority propose granting permission with conditions for a farm shop development?,"To ensure that the development is acceptable in planning terms and to be mindful of the viability of the business, ensuring that the conditions are proportionate and reasonably related to issues directly connected to the proposed farm shop.","In imposing any conditions, local planning authorities need to be mindful of the viability of the business and ensure that the conditions are proportionate and reasonably related to issues directly connected to the proposed farm shop."
r0040,rewrite,What happens if the IHT100 form is submitted after the deadline for events occurring on or after 6 April 2014?,You may be charged a penalty or interest on the Inheritance Tax due.,You will still need to complete the relevant event form. You need to return the form to HMRC in good time for the calculation to be worked out — otherwise you may be charged a penalty or interest on the Inheritance Tax due.
r0041,keep,How do I enrol if I already have an account for other business taxes?,Sign in to your account.,Sign in to your account.
r0042,purge,How does the timing of claiming Maternity Allowance affect the amount you receive?,"To get the full amount that you’re entitled to, claim within 3 months of your Maternity Allowance start date.","If your tenant has one, ask them for a share code instead."
r0043,keep,"What happens to CE marked medical devices after June 30, 2030?",They will no longer be accepted on the Great Britain market.,"We will accept CE marked devices on the Great Britain market until, at the latest, 30 June 2030 depending on device type and classification."
r0044,purge,Can retailers round down the total VAT payable?,Yes,"As a general rule, the concession to round down is not appropriate to retailers, who should read paragraph 17.6."
r0045,keep,What type of education can result in extra Universal Credit payments for a child aged 16 to 19?,non-advanced education,if they are in full-time non-advanced education
r0046,purge,What could happen if you do not agree with an enforcement notice served by a local authority regarding planning permission?,You may face legal consequences.,serves you with an enforcement notice because it thinks you have broken planning permission and you do not agree
r0047,rewrite,What condition must be met for the 20 year rule to apply?,"The taxpayer or a relevant associate connected with the taxpayer held a relevant interest in the building or land: after the time from which the option had effect, and more than 20 years before the option is revoked.","after the time from which the option had effect, and
more than 20 years before the option is revoked."
r0048,keep,What are the two main types of private pension schemes?,defined contribution and defined benefit,"There are 2 main types: defined contribution - a pension pot based on how much is paid in

defined benefit - usually a workplace pension based on your salary and how long you’ve worked for your employer"
r0049,keep,How long do you have to report and pay Capital Gains Tax after selling your UK property?,within 60 days,You must report and pay any Capital Gains Tax on most sales of UK property within 60 days.
r0050,keep,What must a business do if it wants to change the VAT status of certain property supplies from exempt to standard rate?,opt to tax,"it’s possible to choose to standard rate some supplies of property which would otherwise be exempt, by opting to tax"
r0051,keep,What additional items can be included in buildings used for a relevant charitable purpose beyond those listed in 13.8.3?,"blackboards or whiteboards fixed to or forming part of the wall, gymnasium wall bars, notice and display boards, mirrors and barres (in ballet schools)","For more information read paragraph 13.8.3 but in addition:

blackboards or whiteboards fixed to or forming part of the wall
gymnasium wall bars
notice and display boards
mirrors and barres (in ballet schools)"
r0052,keep,What surcharge can be imposed if a commencement notice is not submitted in time?,"20% of the notional chargeable amount, capped at £2,500","If a commencement notice is not submitted in time, the charging authority must impose a surcharge equal to 20% of the notional chargeable amount, capped at £2,500."
r0053,purge,"What must you keep for 4 years after the claim is made, or 10 years if you used VAT MOSS?",information about each bad debt,"You must keep this information for 4 years after the claim is made, or 10 years if you used the VAT MOSS."
r0054,rewrite,What should you do to avoid issues with the service during maintenance?,Stop using the service before it undergoes regular maintenance.,Please stop using the service before then or you will not be able to finish your tasks.
r0055,rewrite,How do you calculate the tax value of the zero-rated supply?,£45.04,(k) Subtract (h) from (a): £139 - £93.96 = £45.04
r0056,keep,How do you ask for a review?,Use the online form to ask for a mandatory review.,Use the online form to ask for a mandatory review.
r0057,keep,How many video clips will the hazard perception test consist of?,14,You’ll then watch 14 video clips.
r0058,keep,When must you contact the Winter Fuel Payment Centre if you do not receive your payment by a certain date?,"If you do not get a letter or the money has not been paid into your account by 27 January 2027, contact the Winter Fuel Payment Centre.","If you do not get a letter or the money has not been paid into your account by 27 January 2027, contact the Winter Fuel Payment Centre."
r0059,purge,"What are the specific types of businesses that cannot use cash basis accounting, and how do they differ from each other?",Limited companies and limited liability partnerships; Lloyd’s underwriter; farming business with a current herd basis election; farming or creative business with a fluctuating profit averaging claim; business that has claimed business premises renovation allowance within the previous 7 years; business that carries on a mineral extraction trade; business that has ever claimed research and development allowance,"Limited companies and limited liability partnerships cannot use cash basis.
You also cannot use cash basis if you’re a:
Lloyd’s underwriter
farming business with a current herd basis election
farming or creative business with a fluctuating profit averaging claim
business that has claimed business premises renovation allowance within the previous 7 years
business that carries on a mineral extraction trade
business that has ever claimed research and development allowance"
r0060,purge,How does HMRC determine the deadline for applying for a refund if it took longer than 3 years to sell your previous home?,You should report any changes of circumstances straight away.,"HMRC must receive your request for a refund by whichever date is the later of:

3 months after the date of sale
12 months after the filing date of the SDLT return for your new main home"
r0061,rewrite,Within what time frame must you report the death of a child or parent to avoid any potential legal consequences?,You need to report the death of a child or the parent within 8 weeks of the death.,You need to report the death of a child or the parent within 8 weeks of the death.
r0062,rewrite,What steps should you take if you disagree with a decision on Neonatal Care Pay?,"Contact your employer first, then the Statutory Payments Dispute Team within 6 months.","If you cannot reach an agreement, you can contact the Statutory Payments Dispute Team. You must do this within 6 months of the date of the decision."
r0063,keep,Where can I get a pet passport?,from an authorised vet,Your pet passport must be issued by an authorised vet.
r0064,purge,When comparing the options for resolving issues with accessing,Contacting the Childcare Service helpline if you’re having problems signing in to your childcare account.,If you’re having problems signing in to your account Contact the Childcare Service helpline if you’re having problems signing in to your childcare account.
r0065,purge,What types of state schools are mentioned in the passage?,"It is not true that community schools, foundation schools and voluntary schools, academies and free schools","The most common ones are:
community schools, which are sometimes called local authority maintained schools - they are not influenced by business or religious groups and follow the national curriculum
foundation schools and voluntary schools, which are funded by the local authority but have more freedom to change the way they do things - sometimes they are supported by representatives from religious groups
academies and free schools, which are run by not-for-profit academy trusts, are independent from the local authority - they have more freedom to change how they run things and can f"
r0066,keep,When can the guidance in this passage be applied?,Only when acquisitions are made by way of a transfer of a going concern.,This guidance can only be applied to acquisitions of businesses by way of a transfer of a going concern.
r0067,rewrite,Under what circumstance might an applicant need to provide additional documents beyond those mentioned?,The Home Office will contact you if you need to provide more evidence.,The Home Office will contact you if you need to provide more evidence.
r0068,rewrite,Under what condition might a local planning authority request additional information during the submission of a planning application for biodiversity net gain?,If planning obligations are likely to be used to secure biodiversity net gain.,"If planning obligations are likely to be used to secure biodiversity net gain, should the local planning authority request further information as part of the planning application?"
r0069,rewrite,What is the difference in visibility of orders between dealerships within and outside a business group?,Dealerships outside your business group will not be able to see your orders.,Dealerships outside your business group will not be able to see your orders.
r0070,purge,What is the difference between a derelict property and one in disrepair?,"They are essentially the same, as features of a derelict property or property in disrepair may include many of the listed features.","The decision is based on our assessment of the physical state of the property. It is not based on how much the property would cost to repair, or whether repairs will actually be done."
r0071,purge,What kind of appeals can be lodged against a Community Infrastructure Levy charge?,The full range of appeals is not shown in the attached table.,The full range of appeals is shown in the attached table:
r0072,purge,"How does the repayment threshold for loans compare between courses starting before and after January 1, 2027?","For courses starting from 1 January 2027, you’ll start repaying your loans when you earn over £25,000 a year.","For courses starting from 1 January 2027, you’ll start repaying your loans when you earn over £25,000 a year."
r0073,purge,What must you do if you have not,you can then apply without them,"If you have not received the forms in 14 days, you can then apply without them."
r0074,keep,What action should you take if HMRC contacts you about a repayment of student loan deductions and you want to verify the request's authenticity?,You can contact the Income Tax: general enquiry helpline to confirm this request is genuine.,You can contact the Income Tax: general enquiry helpline to confirm this request is genuine.
r0075,keep,How often can you take the Return to Driving CPC course?,Once every 5 years,You can only take a Return to Driving CPC course once every 5 years.
r0076,rewrite,What steps are required to ensure your immigration status is valid before traveling to the UK?,Get a share code which is valid for 90 days.,get a share code to prove your immigration status before you travel - a share code is valid for 90 days
r0077,purge,What are the two types of documents you may need to provide about your marital or relationship status?,a photocopy of your decree absolute or final order (if you’re divorced) and a copy of your marriage or civil partnership certificate (if your surname on the child’s birth certificate is different from your current surname),"a photocopy of your decree absolute or final order (if you’re divorced)
your husband, wife or partner’s death certificate (if you’re widowed)
a copy of your marriage or civil partnership certificate (if your surname on the child’s birth certificate is different from your current surname)"
r0078,keep,Under what circumstance might someone need to request an accessible format of the P50Z form?,If you use assistive technology (such as a screen reader) and need a version of this document in a more accessible format.,"If you use assistive technology (such as a screen reader) and need a version of this document in a more accessible format, please email different.format@hmrc.gov.uk. Please tell us what format you need. It will help us if you say what assistive technology you use."
r0079,purge,What information do you need to provide with your import declaration?,"your address in the UK, the date the vehicle arrived in the UK, bill of sale or purchase invoice for the vehicle, copies of any official document which confirms the VIN or chassis number of your vehicle (for example, a registration or title document, or an export certificate), the C88 and E2 or MRN customs documents for your vehicle",you’ll also need to send the following with your import declaration:
r0080,keep,What must you include with your cheque payment to ensure it is not delayed?,"your name, address and phone number","Include a note with:

your name, address and phone number"
r0081,keep,What condition must be met for a granny annex to pass the separate use or disposal test?,"It cannot be tied to another building, structure or even land.","Separate use or disposal means that the use or disposal of the dwelling must not be tied to another building, structure or even land. If it’s tied it fails this condition."
r0082,purge,If you were contracted out before 6 April 2016 and,The passage does not specify the exact impact of changing National Insurance contribution rates after being contracted out.,"If you were contracted out before 6 April 2016, you might not get the full rate new State Pension of £241.30 a week. An amount is taken off your new State Pension if you were contracted out. This is because either: you paid National Insurance contributions at a"
r0083,rewrite,When can I contact Consumerline?,"Monday to Thursday, 9am to 5pm. Friday, 9am to 4pm.","Friday, 9am to 4pm"
r0084,purge,What do you need to send with the completed Self Assessment form?,117.50 euros,Send the completed Self Assessment form by post.
r0085,purge,When can the council delay ice removal for up to 7 days?,while the council tries to get the person responsible to stop or restrict the noise,ice can be delayed for up to 7 days while the council tries to get the person responsible to stop or restrict the noise.
r0086,purge,What can be zero-rated when hired with an operator?,plant and machinery,"24 hour rate
 74 plus room rate"
r0087,rewrite,"What happens if a worker on regular hours takes more than 20 days of leave in a year due to illness, and how does this affect their carryover entitlement?",They can only carry over up to 20 days of their 28-day leave entitlement.,up to 20 of their 28 days’ leave entitlement if they work regular hours for the whole year
r0088,keep,How do the place of supply rules differ for B2B and B2C services in VAT Notice 700?,"For B2B, the supply is made where the customer belongs; for B2C, the supply is made where the supplier belongs.","The B2B general rule for supplies of services is that the supply is made where the customer belongs.
The B2C general rule for supplies of services is that the supply is made where the supplier belongs."
r0089,keep,What do you need to show to claim Universal Credit if you’re self-employed?,self-employment is your main work,"To claim Universal Credit if you’re self-employed, you need to show that self-employment is your main work."
r0090,keep,What can Tax-Free Childcare be used for?,"childminders, nurseries and nannies
after school clubs, play schemes and holiday clubs","You can use it to pay for: 
childminders, nurseries and nannies
after school clubs, play schemes and holiday clubs"
r0091,purge,When can an employee start receiving SSP from 6 April 2026?,standard-rated,An employee will be entitled to SSP from 6th April 2026 if their sickness absence started on or:
r0092,keep,What is the difference in requirements for driving abroad in Sri Lanka compared to St. Lucia and St. Vincent?,"In Sri Lanka, you need an IDP and a recognition permit from the AAC, while in St. Lucia and St. Vincent, you only need to show your UK driving licence or IDP to get a visitor’s licence.","Sri Lanka
 1949
 As well as the IDP, you must get a Sri Lankan recognition permit from the Automobile Association of Ceylon (AAC) in Colombo.
St. Lucia
 1949
 Show your UK driving licence or IDP to the police to get a visitor’s licence.
St. Vincent
 1949
 Show your UK driving licence or IDP to the police to get a visitor’s licence."
r0093,purge,What must you do if you have not,You’ll have to pay £25 to get a replacement.,"If you have not received your log book after 6 weeks and you have not notified DVLA, you’ll have to pay £25 to get a replacement."
r0094,keep,Under what circumstance might an asylum seeker's claim be withdrawn and they potentially face detention?,If you do not go to your reporting events.,"u do not go to your reporting events, your asylum claim may be withdrawn and you may be detained."
r0095,rewrite,Under what circumstances can applying for a Global Talent endorsement review extend the permission to stay in the UK?,It cannot extend the permission to stay in the UK if your permission is about to expire.,"If your permission to stay in the UK is about to expire, applying for an endorsement review will not extend it."
r0096,purge,"If a child gets a new passport, what must be done before the membership remains valid?",You must do this before your child,It costs £20 to update their passport details if they get a new passport. You must do this before your child
r0097,keep,Can I complete the application on a device other than the one used for identity verification?,"Yes, you can complete the rest of the application either on that device or any smartphone, laptop or computer.","you can complete the rest of the application either on that device or any smartphone, laptop or computer."
r0098,purge,How long after microchipping must a pet receive its rabies vaccination?,before they get their rabies vaccination,They must be microchipped before they get their rabies vaccination.
r0099,rewrite,How should you apply for a copy of your final order or decree absolute if the application was made by post before April 2022?,You should apply to the court that handled your divorce.,at any other time - apply to the court that handled your divorce
